Start date,End date,Start station,End station,Bike number,Member type
2017-11-04 21:43:00,2017-11-04 21:55:00,Station A,Station B,W20529,Member
2017-11-24 08:09:00,2017-11-24 08:45:00,Station B,Station A,W20529,Member
2017-10-06 19:36:00,2017-10-06 20:13:00,Station A,Station C,W20529,Casual
2017-12-04 06:58:00,2017-12-04 07:39:00,Station A,Station A,W20529,Member
2017-12-15 09:10:00,2017-12-15 09:56:00,Station B,Station A,W20529,Member
2017-10-17 10:31:00,2017-10-17 11:29:00,Station A,Station A,W20529,Member
2017-11-09 10:36:00,2017-11-09 11:11:00,Station B,Station B,W20529,Member
2017-10-13 10:21:00,2017-10-13 10:47:00,Station A,Station A,W20529,Member
2017-11-11 18:11:00,2017-11-11 19:00:00,Station C,Station B,W20529,Member
2017-11-16 15:02:00,2017-11-16 15:25:00,Station C,Station B,W20529,Casual
2017-11-25 08:03:00,2017-11-25 08:34:00,Station A,Station A,W20529,Casual
2017-12-26 21:48:00,2017-12-26 22:01:00,Station A,Station A,W20529,Member
2017-10-28 07:41:00,2017-10-28 07:52:00,Station A,Station A,W20529,Member
2017-11-10 07:29:00,2017-11-10 08:27:00,Station C,Station C,W20529,Member
2017-10-04 20:15:00,2017-10-04 21:06:00,Station A,Station A,W20529,Casual
2017-11-30 10:31:00,2017-11-30 11:15:00,Station C,Station B,W20529,Member
2017-11-19 08:58:00,2017-11-19 09:28:00,Station B,Station A,W20529,Casual
2017-12-10 21:53:00,2017-12-10 22:11:00,Station C,Station C,W20529,Member
2017-11-24 20:05:00,2017-11-24 20:22:00,Station C,Station A,W20529,Member
2017-10-18 06:19:00,2017-10-18 06:41:00,Station B,Station C,W20529,Member
2017-11-05 01:56:50,2017-11-06 02:26:00,Station C,Station C,W20529,Member
2017-11-02 10:32:00,2017-11-02 11:17:00,Station A,Station A,W20529,Casual
2017-10-13 18:04:00,2017-10-13 18:47:00,Station A,Station B,W20529,Casual
2017-12-29 18:11:00,2017-12-29 18:34:00,Station C,Station C,W20529,Member
2017-10-01 19:42:00,2017-10-01 20:39:00,Station A,Station A,W20529,Member
2017-12-06 18:04:00,2017-12-06 18:50:00,Station C,Station A,W20529,Casual
2017-11-02 07:51:00,2017-11-02 08:28:00,Station A,Station B,W20529,Casual
2017-11-26 11:03:00,2017-11-26 11:43:00,Station A,Station C,W20529,Casual
2017-10-29 11:43:00,2017-10-29 12:13:00,Station C,Station C,W20529,Casual
2017-11-28 20:28:00,2017-11-28 20:50:00,Station A,Station A,W20529,Member
2017-10-11 17:45:00,2017-10-11 18:12:00,Station C,Station A,W20529,Casual
2017-11-21 18:29:00,2017-11-21 19:16:00,Station A,Station B,W20529,Member
2017-11-17 12:01:00,2017-11-17 12:11:00,Station A,Station B,W20529,Casual
2017-10-10 06:38:00,2017-10-10 06:53:00,Station B,Station C,W20529,Casual
2017-10-29 14:54:00,2017-10-29 15:06:00,Station B,Station C,W20529,Casual
2017-10-23 12:45:00,2017-10-23 12:57:00,Station C,Station A,W20529,Casual
2017-10-21 07:17:00,2017-10-21 08:09:00,Station B,Station C,W20529,Casual
2017-10-15 20:48:00,2017-10-15 21:33:00,Station C,Station B,W20529,Member
2017-11-27 19:48:00,2017-11-27 20:21:00,Station B,Station B,W20529,Member
2017-10-17 20:32:00,2017-10-17 20:46:00,Station A,Station A,W20529,Casual
2017-12-13 20:19:00,2017-12-13 20:53:00,Station C,Station B,W20529,Casual
2017-10-11 09:25:00,2017-10-11 09:58:00,Station C,Station B,W20529,Member
2017-12-14 19:00:00,2017-12-14 19:18:00,Station A,Station B,W20529,Casual
